Unnamed: 0,id,name,screen_name,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,url,lang,time_zone,location,default_profile,default_profile_image,geo_enabled,profile_image_url,profile_banner_url,profile_use_background_image,profile_background_image_url_https,profile_text_color,profile_image_url_https,profile_sidebar_border_color,profile_background_tile,profile_sidebar_fill_color,profile_background_image_url,profile_background_color,profile_link_color,utc_offset,is_translator,follow_request_sent,protected,verified,notifications,description,contributors_enabled,following,updated,isFake,timestamp,crawled_at,test_set_1,test_set_2
4519,101892747,lance taylor,paynevscastle,2,2,445,0,0,Mon Jan 04 23:29:06 +0000 2010,http://www.evilbread.blogspot.com,en,,Westville,1.0,,,http://a0.twimg.com/profile_images/1123128760/dead-rising-2_288x288_normal.jpg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1123128760/dead-rising-2_288x288_normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,Just sit around playing video games and pondering.,,,12-06-2013 18:38,1.0,,,,
6237,97275343,Rita,anna_kareninna,4,7,555,0,0,Wed Dec 16 19:44:36 +0000 2009,,es,Santiago,,1.0,,,http://a0.twimg.com/profile_images/2358552310/vetton_ru_118__16__normal.jpg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/2358552310/vetton_ru_118__16__normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,-14400.0,,,,,,,,,12-06-2013 18:38,1.0,,,,
2419,1176319297,Marci Venable,VenableanaMarci,24,9,225,0,0,Wed Feb 13 17:42:40 +0000 2013,,en,,argentina,1.0,,,http://a0.twimg.com/profile_images/3305349266/1c9e8b75d20b819dc77644ea0df888ca_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3305349266/1c9e8b75d20b819dc77644ea0df888ca_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,Ser una beliber es lo mejor qu me pud pasar,,,12-06-2013 18:38,1.0,,,,
1902,619583763,Kevin Morin,kevinmorinfqgx,22,22,258,0,0,Tue Jun 26 23:24:09 +0000 2012,,en,,"San Antonio, Texas",1.0,,,http://a0.twimg.com/profile_images/3004056573/f565a68fae7031f84871c8e632811424_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3004056573/f565a68fae7031f84871c8e632811424_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"CEO/WOW Strategic Solutions to promote your brad, improve your skills in sales, service r teams and make a difference. Arts advocate. Inspired to serve Big!",,,12-06-2013 18:38,1.0,,,,
616,617313262,Thanh Richard,thanheks,42,9,333,0,0,Sun Jun 24 17:29:09 +0000 2012,,en,,Comin 2 A City Near You!!!,1.0,,,http://a0.twimg.com/profile_images/3307250557/a0b72f9c6cbfb8cfda7fcc837728c322_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3307250557/a0b72f9c6cbfb8cfda7fcc837728c322_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,just a rap group based out of nc making gret music trying 2make it 2 the next leve!! so show some love 2 all of the artists on the label: #teamfollowback,,,12-06-2013 18:38,1.0,,,,
1377,130862744,moodcatcher,moodcatcher,3088,113,77,2233,7,Thu Apr 08 15:11:24 +0000 2010,,en,Hong Kong,,,,,http://pbs.twimg.com/profile_images/565072284725956609/zrjG5kXV_normal.jpeg,https://pbs.twimg.com/profile_banners/130862744/1427081555,1.0,https://abs.twimg.com/images/themes/theme14/bg.gif,333333,https://pbs.twimg.com/profile_images/565072284725956609/zrjG5kXV_normal.jpeg,FFFFFF,1.0,EFEFEF,http://abs.twimg.com/images/themes/theme14/bg.gif,0,9EA0A1,28800.0,,,,,,"work for research, publish for cultural heritage conservation and history..",,,15-03-2016 16:08,0.0,08-04-2010 17:11,02-05-2015 10:37,0.0,0.0
1380,616929422,Ryann Ortiz,ryannozi,37,13,310,0,0,Sun Jun 24 08:49:54 +0000 2012,,en,,Naptown,1.0,,,http://a0.twimg.com/profile_images/3282004235/c6012caf7edb6de78074b0179533c05d_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3282004235/c6012caf7edb6de78074b0179533c05d_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"I am a PRO at Call of Duty. I play video games and baseball. I m a competitive gamer (FA). XBLT is my twitter username, if your in a clan try me out sometime.",,,12-06-2013 18:38,1.0,,,,
6130,72186699,Hashim Lababdeh,wadehbljroh,2188,131,791,0,1,Mon Sep 07 02:48:05 +0000 2009,http://www.nshjo.com/vb,en,Greenland,Jordan - Madaba,,,1.0,http://a0.twimg.com/profile_images/1749245028/ki_normal.jpg,,1.0,https://si0.twimg.com/profile_background_images/383153531/back.jpg,00FF09,https://si0.twimg.com/profile_images/1749245028/ki_normal.jpg,0,1.0,222222,http://a0.twimg.com/profile_background_images/383153531/back.jpg,FFFFFF,FFFFFF,-10800.0,,,,,,???? ???????? ?? ???? ?? ????,,,12-06-2013 18:38,1.0,,,,
796,1176144564,Suellen Brew,BrewzckSuellen,21,14,177,0,0,Wed Feb 13 17:11:09 +0000 2013,,en,,Jakarta.indonesia,1.0,,,http://a0.twimg.com/profile_images/3305211210/ff715258ade31e84c171e92706b1f641_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3305211210/ff715258ade31e84c171e92706b1f641_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"Blogger, Doctor, Entrepreneur,Social Media Hound, Experimentng with RSS Feeds to being you latest, coolest news! Follow me & Get Followed Back!",,,12-06-2013 18:38,1.0,,,,
6529,1321364888,Khaelis,KhaelisEXE,2941,94,108,166,2,Mon Apr 01 23:34:38 +0000 2013,http://t.co/81qQ6l66Rs,en,Eastern Time (US & Canada),Competitive Pok�mon Master,,,,http://pbs.twimg.com/profile_images/590708088472211456/faM0qDdi_normal.jpg,,1.0,https://abs.twimg.com/images/themes/theme15/bg.png,333333,https://pbs.twimg.com/profile_images/590708088472211456/faM0qDdi_normal.jpg,0,,DDEEF6,http://abs.twimg.com/images/themes/theme15/bg.png,22330,0A6114,-14400.0,,,,,,Your Typical Pokemon Expert and to-be Streamer (hopefully),,,15-03-2016 15:57,0.0,02-04-2013 01:34,02-05-2015 03:20,0.0,0.0
3819,709392979,Jackeline Schmidt,schmidtwlv,31,8,233,0,0,Sat Jul 21 18:38:16 +0000 2012,,en,,out da hood nto success,1.0,,,http://a0.twimg.com/profile_images/3243577126/86e806f41b1b77b8350082c082a66fc6_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3243577126/86e806f41b1b77b8350082c082a66fc6_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,chid f GOD......,,,12-06-2013 18:38,1.0,,,,
5771,409593977,DragonAltair,Dragon_Altair,4824,117,247,619,1,Thu Nov 10 23:41:05 +0000 2011,,en,Central Time (US & Canada),In a honky town down in Mexico,,,1.0,http://pbs.twimg.com/profile_images/590201929122250753/_q765ETp_normal.jpg,https://pbs.twimg.com/profile_banners/409593977/1429491839,1.0,https://pbs.twimg.com/profile_background_images/551060225/Pac-Man-NXT1.jpg,666666,https://pbs.twimg.com/profile_images/590201929122250753/_q765ETp_normal.jpg,1C1C16,,292429,http://pbs.twimg.com/profile_background_images/551060225/Pac-Man-NXT1.jpg,B2DFDA,93A644,-18000.0,,,,,,"Agressive, passionate, intense// Cats, Good movies, Classic music, Cats, Purple stuff, Books, Geopolitics, Food, Cats, MEXICO, Cats, FPS, etc...",,,15-03-2016 15:56,0.0,11-11-2011 00:41,02-05-2015 06:02,0.0,0.0
5355,617746912,Lurlene Miller,millerqr,67,22,668,5,0,Mon Jun 25 03:50:40 +0000 2012,,en,,"sangatta - malang , Indonesia",1.0,,,http://a0.twimg.com/profile_images/3001069794/1b43b317d7d747929e34a8b419b7f200_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3001069794/1b43b317d7d747929e34a8b419b7f200_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,,,,12-06-2013 18:38,1.0,,,,
1409,2908618777,fckboislayer714,drakegurl714,9625,428,394,5806,0,Mon Nov 24 01:51:13 +0000 2014,,en,,,1.0,,1.0,http://pbs.twimg.com/profile_images/589310324043485186/Je7zrgOG_normal.jpg,https://pbs.twimg.com/profile_banners/2908618777/1417396181,1.0,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/589310324043485186/Je7zrgOG_normal.jpg,C0DEED,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,Every hour is the lonely hour,,,15-03-2016 16:04,0.0,24-11-2014 02:51,01-05-2015 22:59,1.0,0.0
1834,345901028,AuroraBorealis,OroraBorealis,2334,172,357,89,3,Sun Jul 31 11:01:37 +0000 2011,,en,Chennai,India,1.0,,,http://pbs.twimg.com/profile_images/418083672751747072/6OEFy1FK_normal.jpeg,,1.0,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/418083672751747072/6OEFy1FK_normal.jpeg,C0DEED,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,19800.0,,,,,,Indian. Sanatani Hindu. Largely recovered from the tutored history of modern India.  RT does'nt mean endorsement. 26/11. China.,,,15-03-2016 15:59,0.0,31-07-2011 13:01,01-05-2015 23:47,0.0,0.0
2521,1176362071,Jessenia Sam,SamlnxJessenia,19,9,209,0,0,Wed Feb 13 17:50:50 +0000 2013,,en,,U.S.,1.0,,,http://a0.twimg.com/profile_images/3297349679/824cf338c730847fab8074bae4cef308_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3297349679/824cf338c730847fab8074bae4cef308_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,Im MissDreamy baby,,,12-06-2013 18:38,1.0,,,,
6232,39321660,james p,quez312001,491,12,549,16,0,Mon May 11 19:33:19 +0000 2009,,en,,,1.0,,,http://a0.twimg.com/profile_images/1747210636/T7CMT70F_normal,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/1747210636/T7CMT70F_normal,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,,,,12-06-2013 18:38,1.0,,,,
1312,1127622661,Julene Hamilton,JuleneHamilton,22,11,236,0,0,Mon Jan 28 10:10:17 +0000 2013,,en,,Wall Street.,1.0,,,http://a0.twimg.com/profile_images/3301575638/61f3e916da9a80ec607a0df8368c4709_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3301575638/61f3e916da9a80ec607a0df8368c4709_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,#MMG #RocNaton #FinallyFamous #ColWorld #SODMG,,,12-06-2013 18:38,1.0,,,,
989,1124542038,Vasiliki Taylor,VasilikiTaylor,27,16,282,0,0,Sun Jan 27 09:50:46 +0000 2013,,en,,Jo�o Pessoa - Para�ba - Brasil,1.0,,,http://a0.twimg.com/profile_images/3306823829/5db225ab7abf43ae7fdf811abec6b56a_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3306823829/5db225ab7abf43ae7fdf811abec6b56a_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,Adriana Barros - Gerente Comercial do Portal Correio daPara�ba e Revista Premium Magazin.,,,12-06-2013 18:38,1.0,,,,
1719,750002538,Caitlin,caitlintrotman,1662,742,497,8992,2,Fri Aug 10 20:31:56 +0000 2012,,en,Amsterdam,sc ? caitlintrotman,,,,http://pbs.twimg.com/profile_images/593881516033351680/63_Es9PF_normal.jpg,https://pbs.twimg.com/profile_banners/750002538/1430427256,1.0,https://abs.twimg.com/images/themes/theme16/bg.gif,333333,https://pbs.twimg.com/profile_images/593881516033351680/63_Es9PF_normal.jpg,BDDCAD,,DDFFCC,http://abs.twimg.com/images/themes/theme16/bg.gif,9AE4E8,0084B4,7200.0,,,,,,17 Swansea,,,15-03-2016 16:03,0.0,10-08-2012 22:31,01-05-2015 17:27,0.0,0.0
4910,2735881390,maria,thatshawnm,9052,758,971,5013,0,Thu Aug 07 05:46:31 +0000 2014,,es,Central Time (US & Canada),,1.0,,,http://pbs.twimg.com/profile_images/577576488624500736/L0BC8WQE_normal.png,https://pbs.twimg.com/profile_banners/2735881390/1426540028,1.0,https://abs.twimg.com/images/themes/theme1/bg.png,333333,https://pbs.twimg.com/profile_images/577576488624500736/L0BC8WQE_normal.png,C0DEED,,DDEEF6,http://abs.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,-18000.0,,,,,,who's that kid Shawn??--- ? till Shawn,,,15-03-2016 15:55,0.0,07-08-2014 07:46,01-05-2015 20:35,0.0,0.0
1896,619441415,Anna Franks,frankszyetb,28,13,282,0,0,Tue Jun 26 21:36:48 +0000 2012,,en,,"Philadelphia, United States",1.0,,,http://a0.twimg.com/profile_images/2965111116/6afaad6e5f5c76f0ebfee6885ed2657d_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/2965111116/6afaad6e5f5c76f0ebfee6885ed2657d_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"Promoter In Phill. Folowed By @TheGame, @NuJerZeyDevil1, @IamJuice #BWS, @THAREALYUKMOUTH, @MasspikeMiles, @Phillyfreezer(Freeway), @MAFIATHEBOSS",,,12-06-2013 18:38,1.0,,,,
2652,621427868,June Castillo,castillozk,32,16,251,0,0,Fri Jun 29 00:29:31 +0000 2012,,en,,W3 International,1.0,,,http://a0.twimg.com/profile_images/2912336750/ce763b8e9917f9c506b48c7b46ee2433_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/2912336750/ce763b8e9917f9c506b48c7b46ee2433_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"? Crystalina G.  #jtsfollowjets, just follow me. I love Curren$y. G.OO.D MUSIC. Kicks. Tumblr. Twitter. all that good shit!!!!!!!!!!!",,,12-06-2013 18:38,1.0,,,,
3463,219845841,cami ,sohappilyhes,232546,28726,110,20847,247,Fri Nov 26 01:42:57 +0000 2010,https://t.co/DAyWocTTsZ,en-gb,Bogota,,,,1.0,http://pbs.twimg.com/profile_images/594005088944975872/PBo--Hxy_normal.jpg,https://pbs.twimg.com/profile_banners/219845841/1430457023,1.0,https://pbs.twimg.com/profile_background_images/591633702897123328/1a8rNxe9.jpg,0,https://pbs.twimg.com/profile_images/594005088944975872/PBo--Hxy_normal.jpg,FFFFFF,1.0,FFFFFF,http://pbs.twimg.com/profile_background_images/591633702897123328/1a8rNxe9.jpg,FFFFFF,50505,-18000.0,,,,,,Never give up on something that you can't go a day without thinking about.,,,15-03-2016 16:09,0.0,26-11-2010 02:42,01-05-2015 15:50,1.0,1.0
970,620598613,Denis Kline,denisklinezfk,37,42,404,0,0,Thu Jun 28 03:25:47 +0000 2012,,en,,Miami Fl,1.0,,,http://a0.twimg.com/profile_images/3207075945/ea43a619d484ac748ceeba3d4cf17f32_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3207075945/ea43a619d484ac748ceeba3d4cf17f32_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,"Sexy Clothng & Diamond Jewelry,New Coupon Codes Generatd Weekly.",,,12-06-2013 18:38,1.0,,,,
4777,96730829,shravan kumar.R,sravan_rendala,32,11,939,0,1,Mon Dec 14 09:40:10 +0000 2009,,en,New Delhi,,1.0,,,http://a0.twimg.com/profile_images/2354474370/vetton_ru_374__3__normal.jpg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/2354474370/vetton_ru_374__3__normal.jpg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,19800.0,,,,,,,,,12-06-2013 18:38,1.0,,,,
3884,616302786,Viva Case,vivahkqos,51,18,548,0,0,Sat Jun 23 15:50:08 +0000 2012,,en,,"Ukraine, Crimea",1.0,,,http://a0.twimg.com/profile_images/3230158120/b9fbde084c61bf653c5f3ec18c2b70ed_normal.jpeg,,1.0,https://si0.twimg.com/images/themes/theme1/bg.png,333333,https://si0.twimg.com/profile_images/3230158120/b9fbde084c61bf653c5f3ec18c2b70ed_normal.jpeg,C0DEED,,DDEEF6,http://a0.twimg.com/images/themes/theme1/bg.png,C0DEED,0084B4,,,,,,,#Sophmor@Dunbar#Sports#TEAFOLLOWBACK#TeamFuckYouMean#AllboutMe#TeamFuckAllHaters,,,12-06-2013 18:38,1.0,,,,
5406,520328342,JULLIAN,LadyMarffori,10266,2181,1051,3808,3,Sat Mar 10 11:44:54 +0000 2012,http://t.co/hvegkV96Ei,en,Irkutsk,"Ceb,Ph ",,,1.0,http://pbs.twimg.com/profile_images/593645819015757824/e8sQpnv5_normal.jpg,https://pbs.twimg.com/profile_banners/520328342/1426774811,1.0,https://pbs.twimg.com/profile_background_images/564265337718202368/7Ak04Wiq.png,333333,https://pbs.twimg.com/profile_images/593645819015757824/e8sQpnv5_normal.jpg,FFFFFF,1.0,DDEEF6,http://pbs.twimg.com/profile_background_images/564265337718202368/7Ak04Wiq.png,131516,ABB8C2,32400.0,,,,,,"if you hate me but you religiously check my account, then bitch you're a fan",,,15-03-2016 15:58,0.0,10-03-2012 12:44,01-05-2015 13:29,0.0,0.0
2015,17949945,Meghan Hill,megsapatsfan12,25655,361,983,1768,10,Sun Dec 07 23:07:21 +0000 2008,http://t.co/qaST8KGkqQ,en,Pacific Time (US & Canada),SF Bay Area,,,1.0,http://pbs.twimg.com/profile_images/562773121762328577/6p7_WY33_normal.jpeg,https://pbs.twimg.com/profile_banners/17949945/1411073725,,https://pbs.twimg.com/profile_background_images/512708027179204608/V4rhHg2D.png,FCFAF2,https://pbs.twimg.com/profile_images/562773121762328577/6p7_WY33_normal.jpeg,FFFFFF,,CDD46A,http://pbs.twimg.com/profile_background_images/512708027179204608/V4rhHg2D.png,F5F5DC,EDDA74,-25200.0,,,,,,Meghan sometimes talks in the third person. Is it weird for Meghan to do that? Follow Meghan because she tweets about sports and other ah-mah-zing things.,,,15-03-2016 16:07,0.0,08-12-2008 00:07,01-05-2015 13:51,0.0,0.0
